"Colorado Medicaid Fee Schedule January 1, 2012",,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after January 1, 2012.  Please refer to the Fee Schedule Instructions on the website for an explanation of each field.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Relative Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
0001F,,,,Not a benefit,,,,,
0005F,,,,Not a benefit,,,,,
00100,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00102,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00103,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00104,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00120,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00124,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00126,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
0012F,,,,Not a benefit,,,,,
00140,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00142,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00144,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00145,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00147,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00148,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
0014F,,,,Not a benefit,,,,,
0015F,,,,Not a benefit,,,,,
00160,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00162,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
00164,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00170,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00172,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00174,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00176,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
00190,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00192,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
0019T,,198.68,7.41,"$1,472.22",0,999,0,No,
00210,,11,20.17,Varies based on total anesthesia time,0,999,0,No,
00211,,9,20.17,Varies based on total anesthesia time,0,999,0,No,
00212,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00214,,9,20.17,Varies based on total anesthesia time,0,999,0,No,
00215,,9,20.17,Varies based on total anesthesia time,0,999,0,No,
00216,,15,20.17,Varies based on total anesthesia time,0,999,0,No,
00218,,13,20.17,Varies based on total anesthesia time,0,999,0,No,
00220,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
00222,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00300,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
0030T,,30.88,1.00,$30.88,0,999,0,No,
00320,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00322,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
00326,,10,20.17,Varies based on total anesthesia time,0,0,0,No,
00350,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
00352,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00400,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
00402,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00404,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00406,,13,20.17,Varies based on total anesthesia time,0,999,0,No,
00410,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
0042T,,37.41,7.41,$277.21,0,999,0,No,
00450,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00452,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00454,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
00470,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00472,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
00474,,13,20.17,Varies based on total anesthesia time,0,999,0,No,
0048T,,,,Not a benefit,,,,,
00500,,15,20.17,Varies based on total anesthesia time,0,999,0,No,
0050T,,,,Not a benefit,,,,,
0051T,,,,Not a benefit,,,,,
00520,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00522,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00524,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00528,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
00529,,11,20.17,Varies based on total anesthesia time,0,999,0,No,
0052T,,,,Not a benefit,,,,,
00530,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00532,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00534,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
00537,,9,20.17,Varies based on total anesthesia time,0,999,0,No,
00539,,18,20.17,Varies based on total anesthesia time,1,999,0,No,
0053T,,,,Not a benefit,,,,,
00540,,13,20.17,Varies based on total anesthesia time,0,999,0,No,
00541,,15,20.17,Varies based on total anesthesia time,0,999,0,No,
00542,,15,20.17,Varies based on total anesthesia time,0,999,0,No,
00546,,15,20.17,Varies based on total anesthesia time,0,999,0,No,
00548,,17,20.17,Varies based on total anesthesia time,0,999,0,No,
0054T,,40.01,7.41,$296.47,0,999,0,No,
00550,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
0055T,,40.01,7.41,$296.47,0,999,0,No,
00560,,15,20.17,Varies based on total anesthesia time,0,999,0,No,
00561,,25,20.17,Varies based on total anesthesia time,0,1,0,No,
00562,,20,20.17,Varies based on total anesthesia time,0,999,0,No,
00563,,25,20.17,Varies based on total anesthesia time,0,999,0,No,
00566,,25,20.17,Varies based on total anesthesia time,0,999,0,No,
00567,,21,20.17,Varies based on total anesthesia time,0,999,0,No,
00580,,20,20.17,Varies based on total anesthesia time,0,999,0,No,
00600,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
00604,,13,20.17,Varies based on total anesthesia time,0,999,0,No,
00620,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
