productid	productndc	producttypename	proprietaryname	proprietarynamesuffix	nonproprietaryname	dosageformname	routename	startmarketingdate	endmarketingdate	marketingcategoryname	applicationnumber	labelername	substancename	active_numerator_strength	active_ingred_unit	pharm_classes	deaschedule	ndcpackagecode	packagedescription	fmtPackageCode
0019-9450_78041916-0dcf-492e-95fe-2eabe940f53a	0019-9450	HUMAN PRESCRIPTION DRUG	Sodium Iodide I-131	Therapeutic	sodium iodide, i-131	SOLUTION	ORAL	20110822	NA	NDA	NDA016515	Mallinckrodt Inc.	SODIUM IODIDE I-131	5	mCi/mL	Radioactive Therapeutic Agent [EPC],Radiopharmaceutical Activity [MoA]		0019-9450-02	1 VIAL in 1 CAN (0019-9450-02)  > 2 mL in 1 VIAL	4-4-2 format
0024-1535_1d226524-68e6-4137-930c-7d2760c7ff39	0024-1535	HUMAN PRESCRIPTION DRUG	Phisohex		hexachlorophene	EMULSION	TOPICAL	19760611	NA	NDA	NDA006882	sanofi-aventis U.S. LLC	HEXACHLOROPHENE	30	mg/mL	Antiseptic [EPC]		0024-1535-02	148 mL in 1 BOTTLE, PLASTIC (0024-1535-02) 	4-4-2 format
0031-2293_d3fdc5ee-9822-3eb8-993d-a3cf276cc600	0031-2293	HUMAN OTC DRUG	CHILDRENS DIMETAPP COLD AND ALLERGY		brompheniramine maleate, phenylephrine HCl	TABLET, CHEWABLE	ORAL	20050927	NA	OTC MONOGRAPH FINAL	part341	Richmond Division of Wyeth LLC, a subsidiary of Pfizer Inc.	BROMPHENIRAMINE MALEATE; PHENYLEPHRINE HYDROCHLORIDE	1; 2.5	mg/1; mg/1			0031-2293-21	2 BLISTER PACK in 1 CARTON (0031-2293-21)  > 10 TABLET, CHEWABLE in 1 BLISTER PACK	4-4-2 format
0049-4960_ffbfb7ed-dd6c-4bd1-9958-29771b36abd1	0049-4960	HUMAN PRESCRIPTION DRUG	Zoloft		SERTRALINE HYDROCHLORIDE	TABLET, FILM COATED	ORAL	19920211	NA	NDA	NDA019839	Roerig	SERTRALINE HYDROCHLORIDE	25	mg/1	Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		0049-4960-50	50 TABLET, FILM COATED in 1 BOTTLE (0049-4960-50) 	4-4-2 format
0065-0431_049b9fcf-0d61-4f1f-bd60-9b048600574e	0065-0431	HUMAN OTC DRUG	Systane		polyethylene glycol 0.4% and propylene glycol 0.3%	SOLUTION/ DROPS	OPHTHALMIC	20090814	NA	OTC MONOGRAPH FINAL	part349	Alcon Research Ltd	POLYETHYLENE GLYCOL; PROPYLENE GLYCOL	.4; .3	mL/mL; mL/mL			0065-0431-04	4 VIAL in 1 CARTON (0065-0431-04)  > .4 mL in 1 VIAL	4-4-2 format
0065-0474_3c2aecf8-04b4-b1a6-69ff-ad039c2175bb	0065-0474	HUMAN OTC DRUG	Systane		hypromellose	GEL	OPHTHALMIC	20121215	NA	OTC MONOGRAPH FINAL	part349	Alcon Laboratories, Inc.	HYPROMELLOSE 2910 (4000 MPA.S)	3	mg/g			0065-0474-02	3.5 g in 1 TUBE (0065-0474-02) 	4-4-2 format
0067-6292_8a8f2d12-a621-4334-b790-7879704aeff8	0067-6292	HUMAN OTC DRUG	LAMISIL	AT Continuous Spray	TERBINAFINE HYDROCHLORIDE	LIQUID	TOPICAL	20090723	NA	NDA	NDA021124	Novartis Consumer Health, Inc.	TERBINAFINE HYDROCHLORIDE	1.25	mL/125mL			0067-6292-83	125 mL in 1 BOTTLE, SPRAY (0067-6292-83) 	4-4-2 format
0069-3034_d68fa7f3-f884-4bfb-80c7-8bb30a746a4e	0069-3034	HUMAN PRESCRIPTION DRUG	Doxorubicin Hydrochloride		Doxorubicin Hydrochloride	INJECTION, SOLUTION	INTRAVENOUS	19871223	NA	NDA	NDA050629	Pfizer Laboratories Div Pfizer Inc	DOXORUBICIN HYDROCHLORIDE	2	mg/mL	Anthracycline Topoisomerase Inhibitor [EPC],Anthracyclines [Chemical/Ingredient],Topoisomerase Inhibitors [MoA]		0069-3034-20	1 VIAL, MULTI-DOSE in 1 PACKAGE (0069-3034-20)  > 100 mL in 1 VIAL, MULTI-DOSE	4-4-2 format
0069-5410_db1b687b-ed21-4373-857c-1ef3f8b9a780	0069-5410	HUMAN PRESCRIPTION DRUG	Vistaril		HYDROXYZINE PAMOATE	CAPSULE	ORAL	19941128	NA	NDA	NDA011459	Pfizer Laboratories Div Pfizer Inc	HYDROXYZINE PAMOATE	25	mg/1	Antihistamine [EPC],Histamine Receptor Antagonists [MoA]		0069-5410-66	100 CAPSULE in 1 BOTTLE (0069-5410-66) 	4-4-2 format
0074-3239_7046ff4c-8a75-5fd4-d40f-ff0cc84eed5f	0074-3239	HUMAN PRESCRIPTION DRUG	Moderiba		Ribavirin	TABLET, FILM COATED	ORAL	20140120	NA	ANDA	ANDA077456	AbbVie Inc.	RIBAVIRIN	400	mg/1	Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]		0074-3239-56	4 DOSE PACK in 1 CARTON (0074-3239-56)  > 14 TABLET, FILM COATED in 1 DOSE PACK (0074-3239-14) 	4-4-2 format
